proyecto_id,campo,antes,despues,origen,nota
HCDN274584,relevante,true,false,revision_experta,fallo del autor 2-ago: evento de terceros (regla 3 de la doctrina); beneplacito por jornada = declaracion protocolar
HCDN118245,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN119301,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN125516,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN125861,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN131080,relevante,true,false,revision_experta,fallo del autor 2-ago (clase): declaracion de interes por proyecto de terceros (regla 3) + conservacion sin cadena productiva
HCDN131385,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN134505,relevante,true,false,revision_experta,"fallo del autor 2-ago (clase): reproduccion del 175, proyecto de terceros (regla 8)"
HCDN136286,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN143360,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): edicion de programa cultural oficial (regla 7)
HCDN143380,tema,mercosur_institucional,mercosur_simbolico,revision_experta,"fallo del autor 2-ago: jornada de la campana oficial = ocurrencia, no la politica (regla 7)"
HCDN149401,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN153757,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN159226,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN159857,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN160768,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN160844,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN164555,relevante,true,false,revision_experta,fallo del autor 2-ago: inauguracion de entidad privada = evento de terceros (regla 3)
HCDN173710,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN184957,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN200747,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN219343,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN225245,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): edicion de programa oficial (regla 7)
HCDN231932,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): seminario = ocurrencia de actividad oficial (precedente 205/246)
HCDN243046,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN243542,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): edicion de premio oficial (regla 7)
HCDN245430,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN245513,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
